"Date of Rally","City","State","Venue","Estimated Visitors","period"
2016-06-10,"Richmond","VA","Richmond Coliseum",5000,"General"
2016-06-11,"Moon","PA","Atlantic Aviation PIT, Pittsburgh International Airport",1500,"General"
2016-06-11,"Tampa","FL","Tampa Convention Center",4000,"General"
2016-06-14,"Greensboro","NC","Greensboro Coliseum Complex",6150,"General"
2016-06-15,"Atlanta","GA","Fox Theatre",3500,"General"
2016-06-16,"Dallas","TX","Gilley's Club",3600,"General"
2016-06-17,"The Woodlands","TX","The Woodlands Waterway Marriott Hotel & Conference Center",5000,"General"
2016-06-18,"Las Vegas","NV","Mystère Theatre, Treasure Island Hotel and Casino",1600,"General"
2016-06-18,"Phoenix","AZ","Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds",6000,"General"
2016-06-28,"St. Clairsville","OH","Health and Physical Education Center, Ohio University Eastern Campus",4000,"General"
2016-06-29,"Bangor","ME","Cross Insurance Center",4000,"General"
2016-07-05,"Raleigh","NC","Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts",2250,"General"
2016-07-06,"Cincinnati","OH","Sharonville Convention Center",7000,"General"
2016-07-12,"Westfield","IN","Grand Park Event Center, Grand Park",2000,"General"
2016-07-25,"Winston-Salem","NC","Winston-Salem Fairground Annex, Dixie Classic Fairgrounds",4728,"General"
2016-07-27,"Scranton","PA","Student Union Gymnasium, Lackawanna College",3500,"General"
2016-07-27,"Toledo","OH","Huntington Center",8879,"General"
2016-07-28,"Cedar Rapids","IA","DoubleTree Hotel Cedar Rapids Convention Complex",3000,"General"
2016-07-28,"Davenport","IA","Adler Theatre",2400,"General"
2016-07-29,"Colorado Springs","CO","Gallogly Event Center, University of Colorado Colorado Springs",2500,"General"
2016-07-29,"Denver","CO","Wings Over the Rockies Air and Space Museum",6000,"General"
2016-08-01,"Columbus","OH","Greater Columbus Convention Center",1000,"General"
2016-08-01,"Mechanicsburg","PA","Cumberland Valley High School",5000,"General"
2016-08-02,"Ashburn","VA","Briar Woods High School",800,"General"
2016-08-03,"Daytona Beach","FL","Ocean Center",10000,"General"
2016-08-03,"Jacksonville","FL","Jacksonville Veterans Memorial Arena",10000,"General"
2016-08-04,"Portland","ME","Merrill Auditorium",1600,"General"
2016-08-05,"Des Moines","IA","Iowa Events Center",6000,"General"
2016-08-05,"Green Bay","WI","KI Convention Center",3000,"General"
2016-08-06,"Windham","NH","Windham High School",1500,"General"
2016-08-09,"Fayetteville","NC","Crown Arena",3000,"General"
2016-08-09,"Wilmington","NC","Trask Coliseum, University of North Carolina at Wilmington",NA,"General"
2016-08-10,"Sunrise","FL","BB&T Center",NA,"General"
2016-08-11,"Kissimmee","FL","Silver Spurs Arena",8000,"General"
2016-08-12,"Altoona","PA","Blair County Convention Center",5000,"General"
2016-08-12,"Erie","PA","Erie Insurance Arena",8000,"General"
2016-08-13,"Fairfield","CT","William H. Pitt Center, Sacred Heart University",5000,"General"
2016-08-16,"West Bend","WI","Ziegler Family Expo Center, Washington County Fair Park & Conference Center",2000,"General"
2016-08-18,"Charlotte","NC","Charlotte Convention Center",5000,"General"
2016-08-19,"Dimondale","MI","The Summit Sports and Ice Complex",5000,"General"
