"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Wednesday, May 25, 2016","Anaheim","CA","Anaheim Convention Center","3,000","Primary"
"Thursday, May 26, 2016","Billings","MT","Rimrock Auto Arena at MetraPark","7,000","Primary"
"Friday, May 27, 2016","Fresno","CA","Selland Arena","7,000 or less","Primary"
"Friday, May 27, 2016","San Diego","CA","San Diego Convention Center","","Primary"
"Wednesday, June 1, 2016","Sacramento","CA","Sacramento Jet Center, Sacramento International Airport","5,000","Primary"
"Thursday, June 2, 2016","San Jose","CA","South Hall, San Jose Convention Center","","Primary"
"Friday, June 3, 2016","Redding","CA","Redding Municipal Airport","4,000","Primary"
"Friday, June 10, 2016","Richmond","VA","Richmond Coliseum","5,000","General"
"Saturday, June 11, 2016","Moon","PA","Atlantic Aviation PIT, Pittsburgh International Airport","1,500","General"
"Saturday, June 11, 2016","Tampa","FL","Tampa Convention Center","4,000","General"
"Tuesday, June 14, 2016","Greensboro","NC","Greensboro Coliseum Complex","6,150","General"
"Wednesday, June 15, 2016","Atlanta","GA","Fox Theatre","3,500","General"
"Thursday, June 16, 2016","Dallas","TX","Gilley's Club","3,600","General"
"Friday, June 17, 2016","The Woodlands","TX","The Woodlands Waterway Marriott Hotel & Conference Center","5,000","General"
"Saturday, June 18, 2016","Las Vegas","NV","Mystère Theatre, Treasure Island Hotel and Casino","1,600","General"
"Saturday, June 18, 2016","Phoenix","AZ","Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds","6,000","General"
"Tuesday, June 28, 2016","St. Clairsville","OH","Health and Physical Education Center, Ohio University Eastern Campus","4,000","General"
"Wednesday, June 29, 2016","Bangor","ME","Cross Insurance Center","4,000","General"
"Tuesday, July 5, 2016","Raleigh","NC","Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts","2,250","General"
"Wednesday, July 6, 2016","Cincinnati","OH","Sharonville Convention Center","7,000","General"
"Tuesday, July 12, 2016","Westfield","IN","Grand Park Event Center, Grand Park","2,000","General"
